,,values
0,1981-03-12,0.10128446328744799
0,1981-03-22,-0.03426826717484456
0,1981-04-01,-0.015572314466424078
0,1981-04-11,0.028081874301513005
0,1981-04-21,0.25916006285417786
0,1981-05-01,0.21724379370967073
0,1981-05-11,0.24125411812426592
0,1981-05-21,0.3213642647985967
0,1981-05-31,0.3027342402575618
0,1981-06-10,0.6468771710643153
0,1981-06-20,0.5074084662959536
0,1981-06-30,0.33671786298879136
0,1981-07-10,0.3523399677388106
0,1981-07-20,0.08828630921452618
0,1981-07-30,-0.05980006546264394
0,1981-08-09,-0.12324202528737477
0,1981-08-19,-0.23594275162113967
0,1981-08-29,-0.1592115959351598
0,1981-09-08,-0.08331869034640196
0,1981-09-18,0.11204164997570322
0,1981-09-28,-0.09769176773351147
0,1981-10-08,-0.2369776716179527
0,1981-10-18,-0.1418061665736738
0,1981-10-28,-0.10195658989177228
0,1981-11-07,-0.13780626752765754
0,1981-11-17,-0.10380801217358929
0,1981-11-27,-0.24873607161617037
0,1981-12-07,-0.28962075148250477
0,1981-12-17,-0.10206870701370989
0,1981-12-27,-0.12698838130970708
0,1982-01-11,-0.269841032994016
0,1982-01-21,-0.20564952326362507
0,1982-01-31,-0.27983772883934965
0,1982-02-10,-0.18616443302448515
0,1982-02-20,0.02708010589970634
0,1982-03-02,-0.0027584438059675845
0,1982-03-12,-0.0914417494673754
0,1982-03-22,-0.32511335651932805
0,1982-04-01,-0.3349404593622807
0,1982-04-11,-0.3788432574629982
0,1982-04-21,-0.48113491092948607
0,1982-05-01,-0.5974221659071841
0,1982-05-11,-0.6023612556736024
0,1982-05-21,-0.6120763070804193
0,1982-05-31,-0.7379433713225181
0,1982-06-10,-0.6041323912005528
0,1982-06-20,-0.20627255211842915
0,1982-06-30,-0.03529273063626052
0,1982-07-10,-0.25666951621731227
0,1982-07-20,-0.2431401767533743
0,1982-07-30,-0.13406219663873814
0,1982-08-09,-0.4556645733993769
0,1982-08-19,-0.2337931314051216
0,1982-08-29,-0.1718453125234343
0,1982-09-08,-0.042025500480398575
0,1982-09-18,-0.10914055652863876
0,1982-09-28,-0.31101919298361447
0,1982-10-08,-0.5873284614446102
0,1982-10-18,-0.4313352359554605
0,1982-10-28,-0.4362611061094123
0,1982-11-07,-0.26840674740928416
0,1982-11-17,-0.39895102493626744
0,1982-11-27,-0.19634428453651534
0,1982-12-07,-0.314172876378127
0,1982-12-17,-0.163067593941651
0,1982-12-27,-0.4606554603726086
0,1983-01-11,-0.3362175874145857
0,1983-01-21,-0.20808295883944045
0,1983-01-31,-0.39358813378668406
0,1983-02-10,-0.2002618150926612
0,1983-02-20,-0.12039244565857639
0,1983-03-02,-0.055703059458303915
0,1983-03-12,0.016583881424444842
0,1983-03-22,-0.051811880957464224
0,1983-04-01,0.005700070711784801
0,1983-04-11,-0.1388591217840453
0,1983-04-21,-0.25166242534005356
0,1983-05-01,-0.33373184714697973
0,1983-05-11,-0.44374369277586506
0,1983-05-21,-0.3278778160471513
0,1983-05-31,-0.307498903428813
0,1983-06-10,-0.36599715686572093
0,1983-06-20,-0.36482843924484487
0,1983-06-30,-0.39386274601125215
0,1983-07-10,-0.6395966540930306
0,1983-07-20,-0.7675011229551991
0,1983-07-30,-0.5332348451163311
0,1983-08-09,-0.6800744800866738
0,1983-08-19,-0.47235158116815773
0,1983-08-29,-0.34455704829010075
0,1983-09-08,-0.4730399661359246
0,1983-09-18,-0.4887962581760084
0,1983-09-28,-0.23065235567421838
