,,values
0,1995-05-11,-0.7662509039481448
0,1995-05-21,-0.9159284754719901
0,1995-05-31,-1.047240505605663
0,1995-06-10,-1.0667161377348462
0,1995-06-20,-0.16325317456613575
0,1995-06-30,-1.481724994041455
0,1995-07-10,-0.7527658417595111
0,1995-07-20,-0.6568616724063221
0,1995-07-30,-0.1832748228717733
0,1995-08-09,0.012384347622694981
0,1995-08-19,-0.046126125623129545
0,1995-08-29,-0.14863211500992637
0,1995-09-08,-0.39902960799355186
0,1995-09-18,-1.0534526270972382
0,1995-09-28,-0.5753854313392055
0,1995-10-08,0.23586333204365398
0,1995-10-18,0.31156201634948033
0,1995-10-28,0.39257315078349936
0,1995-11-07,-0.06435154114463586
0,1995-11-17,-0.2899022742109474
0,1995-11-27,-0.4165463357236279
0,1995-12-07,-0.1132789137019599
0,1995-12-17,-0.42168506491581037
0,1995-12-27,-0.5107394682608288
0,1996-01-11,-0.7139899477786088
0,1996-01-21,-0.5191024953728799
0,1996-01-31,-0.17323087015019256
0,1996-02-10,-0.6174874225110248
0,1996-02-20,-0.68039737680169
0,1996-03-02,-0.48925684381307405
0,1996-03-12,-0.26757613662335955
0,1996-03-22,-0.7012723603873342
0,1996-04-01,-0.7926211247228047
0,1996-04-11,-0.5405792909837503
0,1996-04-21,-0.6783551481761766
0,1996-05-01,-1.175350831802941
0,1996-05-11,-0.9507387633124933
0,1996-05-21,-0.3844163677190693
0,1996-05-31,-0.718746772767075
0,1996-06-10,-1.5601163394776842
0,1996-06-20,-0.6713619841136159
0,1996-06-30,0.35579545159480486
0,1996-07-10,0.4460724570151823
0,1996-07-20,0.16819762150638956
0,1996-07-30,0.11130074879278577
0,1996-08-09,-0.1107647586997829
0,1996-08-19,-0.22666655280800252
0,1996-08-29,-0.37646821208402714
0,1996-09-08,-0.19118317908710813
0,1996-09-18,-0.21919540477570057
0,1996-09-28,-0.2503856912112778
0,1996-10-08,-1.0943963248742339
0,1996-10-18,-0.7712295526611513
0,1996-10-28,-0.6057560563146113
